,Automotive > Auto Buying and Selling,Business and Finance > Business,Business and Finance > Business > Business I.T.,Business and Finance > Business > Marketing and Advertising,Business and Finance > Business > Sales,Business and Finance > Business > Small and Medium-sized Business,Business and Finance > Business > Startups,Careers,Education,Food & Drink > Alcoholic Beverages,Food & Drink > Dining Out,Real Estate,Technology & Computing > Artificial Intelligence,Technology & Computing > Computing > Computer Software and Applications,Technology & Computing > Computing > Internet,Travel
Automotive > Auto Buying and Selling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business and Finance > Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business and Finance > Business > Business I.T.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business and Finance > Business > Marketing and Advertising,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Business and Finance > Business > Sales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Business and Finance > Business > Small and Medium-sized Business,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Business and Finance > Business > Startups,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Careers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food & Drink > Alcoholic Beverages,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Food & Drink > Dining Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technology & Computing > Artificial Intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technology & Computing > Computing > Computer Software and Applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technology & Computing > Computing > Internet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
